,No,Name,운영체제(OS),CPU,CPU_Launch_Date,램,그래픽,저장장치,파워,inch,무게(kg),inch_per_kg,PD충전,CPU_Score,GPU_Score,ppi,Screen_Brightness,Screen_Refresh_Rate,Display_Point,Manufacturer,Value_Point,Value_for_Money_Point,Price_won
0,12660506,APPLE 2020 맥북에어 MGN93KH/A,macOS Big Sur,애플(ARM) / 실리콘 M1 / APL1102 / 옥타코어(4+4),2021.09,용량: 8GB / 램 교체: 불가능,내장그래픽 / M1 7 core,SSD / 256GB,배터리: 49.9Wh / 어댑터: 30W / 충전단자: 타입C / 최대18시간,13.3,1.29,10.31007752,USB-PD,14067,3300,166,400,60,6.427860697,APPLE,6.153101827,553.1623884,1202350
1,15994085,APPLE 2021 맥북프로14 MKGP3KH/A M1 Max,macOS Monterey,애플(ARM) / 실리콘 M1 MAX / APL1104 / 10코어(8+2),2021.09,용량: 32GB / 램 교체: 불가능,내장그래픽 / M1 MAX 32 core,SSD / 512GB,배터리: 70Wh / 어댑터: 96W / 충전단자: MagSafe 3,14.2,1.6,8.875,USB-PD,22074,11000,155,1000,120,7.820895522,APPLE,7.100901223,208.7517998,3491600
2,17203811,APPLE 2022 맥북에어13 MLXW3KH/A,macOS Monterey,애플(ARM) / 실리콘 M2 / 옥타코어(4+4),2023.01,용량: 8GB / 램 교체: 불가능,내장그래픽 / M2 8 core,SSD / 256GB,배터리: 52.6Wh / 어댑터: 30W / 충전단자: MagSafe 3 / 최대18시간,13.6,1.24,10.96774194,USB-PD,15344,4623,162,500,60,6.550580431,APPLE,6.29410815,467.4455918,1436490
3,17203760,APPLE 2022 맥북에어13 MLXY3KH/A,macOS Monterey,애플(ARM) / 실리콘 M2 / 옥타코어(4+4),2023.01,용량: 8GB / 램 교체: 불가능,내장그래픽 / M2 8 core,SSD / 256GB,배터리: 52.6Wh / 어댑터: 30W / 충전단자: MagSafe 3 / 최대18시간,13.6,1.24,10.96774194,USB-PD,15344,4623,162,500,60,6.550580431,APPLE,6.29410815,439.8429164,1520990
4,17204207,APPLE 2022 맥북프로13 MNEJ3KH/A,macOS Monterey,애플(ARM) / 실리콘 M2 / 옥타코어(4+4),2023.01,용량: 8GB / 램 교체: 불가능,내장그래픽 / M2 10 core,SSD / 512GB,배터리: 58.2Wh / 어댑터: 67W / 충전단자: 타입C / 최대20시간,13.3,1.4,9.5,USB-PD,15344,5080,166,500,60,6.650082919,APPLE,6.361546682,381.0267661,1759580
5,17204162,APPLE 2022 맥북프로13 MNEP3KH/A,macOS Monterey,애플(ARM) / 실리콘 M2 / 옥타코어(4+4),2023.01,용량: 8GB / 램 교체: 불가능,내장그래픽 / M2 10 core,SSD / 256GB,배터리: 58.2Wh / 어댑터: 67W / 충전단자: 타입C / 최대20시간,13.3,1.4,9.5,USB-PD,15344,5080,166,500,60,6.650082919,APPLE,6.312359799,423.8787394,1579190
6,20477921,APPLE 2023 맥북에어15 MQKP3KH/A,macOS Ventura,애플(ARM) / 실리콘 M2 / 옥타코어(4+4),2023.01,용량: 8GB / 램 교체: 불가능,내장그래픽 / M2 10 core,SSD / 256GB,배터리: 66.5Wh / 어댑터: 35W (듀얼 USB-C포트) / 충전단자: MagSafe 3 / 최대18시간,15.3,1.51,10.13245033,USB-PD,15344,5080,144,500,60,6.102819237,APPLE,6.242663124,378.1003188,1741060
7,20477882,APPLE 2023 맥북에어15 MQKW3KH/A,macOS Ventura,애플(ARM) / 실리콘 M2 / 옥타코어(4+4),2023.01,용량: 8GB / 램 교체: 불가능,내장그래픽 / M2 10 core,SSD / 256GB,배터리: 66.5Wh / 어댑터: 35W (듀얼 USB-C포트) / 충전단자: MagSafe 3 / 최대18시간,15.3,1.51,10.13245033,USB-PD,15344,5080,144,500,60,6.102819237,APPLE,6.242663124,378.9886488,1737190
8,18788333,APPLE 2023 맥북프로14 MPHE3KH/A,macOS Ventura,애플(ARM) / 실리콘 M2 Pro / 10코어,2023.01,용량: 16GB / 램 교체: 불가능,내장그래픽 / M2 Pro 16core,SSD / 512GB,배터리: 70Wh / 어댑터: 67W / 충전단자: MagSafe 3 / 최대18시간,14.2,1.6,8.875,USB-PD,21644,8296,155,1000,120,7.820895522,APPLE,6.952390615,280.5623286,2568020
9,18788777,APPLE 2023 맥북프로14 MPHF3KH/A,macOS Ventura,애플(ARM) / 실리콘 M2 Pro / 12코어,2023.01,용량: 16GB / 램 교체: 불가능,내장그래픽 / M2 Pro 19core,SSD / 1TB,배터리: 70Wh / 어댑터: 96W / 충전단자: MagSafe 3 / 최대18시간,14.2,1.6,8.875,USB-PD,26417,8920,155,1000,120,7.820895522,APPLE,7.083779723,208.9616702,3479990
10,18788978,APPLE 2023 맥북프로16 MNW83KH/A,macOS Ventura,애플(ARM) / 실리콘 M2 Pro / 12코어,2023.01,용량: 16GB / 램 교체: 불가능,내장그래픽 / M2 Pro 19core,SSD / 512GB,배터리: 100Wh / 어댑터: 140W / 충전단자: MagSafe 3 / 최대22시간,16.2,2.15,7.534883721,USB-PD,26417,8920,136,1000,120,7.348258706,APPLE,7.050544941,242.7965571,2993890
11,18789071,APPLE 2023 맥북프로16 MNW93KH/A,macOS Ventura,애플(ARM) / 실리콘 M2 Pro / 12코어,2023.01,용량: 16GB / 램 교체: 불가능,내장그래픽 / M2 Pro 19core,SSD / 1TB,배터리: 100Wh / 어댑터: 140W / 충전단자: MagSafe 3 / 최대22시간,16.2,2.15,7.534883721,USB-PD,26417,8920,136,1000,120,7.348258706,APPLE,7.11356147,213.5236415,3421510
12,18789038,APPLE 2023 맥북프로16 MNWC3KH/A,macOS Ventura,애플(ARM) / 실리콘 M2 Pro / 12코어,2023.01,용량: 16GB / 램 교체: 불가능,내장그래픽 / M2 Pro 19core,SSD / 512GB,배터리: 100Wh / 어댑터: 140W / 충전단자: MagSafe 3 / 최대22시간,16.2,2.15,7.534883721,USB-PD,26417,8920,136,1000,120,7.348258706,APPLE,7.050544941,242.7965571,2993890
13,19769486,ASUS ProArt Studiobook 16 OLED H7604JV-MY072X,윈도우11프로,인텔 / 코어i9-13세대 / i9-13980HX (2.2GHz) / 24코어(8P+16E),2023.01,DR5 / 램 용량: 32GB / 5200MHz / 램 교체: 가능,외장그래픽 / RTX4060 / TGP: 130W / VRAM:8GB / MUX 스위치,M.2(NVMe) / 1TB / 저장 슬롯: 2개,배터리: 90Wh / 어댑터: 240W / 충전단자: DC,16,2.4,6.666666667,USB-PD,48175,6982,138,500,120,6.286898839,ASUS,6.511949041,210.810911,3179000
14,18907742,ASUS ROG SCAR 18 G834JZ-N6004W,윈도우11홈,인텔 / 코어i9-13세대 / i9-13980HX (2.2GHz) / 24코어(8P+16E),2023.01,DR5 / 램 용량: 32GB / 4800MHz / 램 교체: 가능,외장그래픽 / RTX4080 / TGP: 175W / VRAM:12GB / MUX 스위치,M.2(NVMe) / 1TB / 저장 슬롯: 2개,배터리: 90Wh / 어댑터: 330W / 충전단자: DC,18,3.1,5.806451613,USB-PD,48175,16009,122,500,240,6.555555556,ASUS,6.817593096,175.6980302,3970290
15,19425413,ASUS ROG STRIX G16 G614JV-N4083 64GB램,미포함(프리도스),인텔 / 코어i9-13세대 / i9-13980HX (2.2GHz) / 24코어(8P+16E),2023.01,DR5 / 램 용량: 64GB / 4800MHz / 램 교체: 가능,외장그래픽 / RTX4060 / TGP: 140W / VRAM:8GB / MUX 스위치,M.2(NVMe) / 512GB / 저장 슬롯: 2개,배터리: 90Wh / 어댑터: 280W / 충전단자: DC,16,2.5,6.4,USB-PD,48175,6982,138,500,240,6.953565506,ASUS,6.765467902,274.3954957,2465590
16,19189232,ASUS ROG STRIX G18 G814JV-N5002 WIN11 32GB램,윈도우11(설치),인텔 / 코어i7-13세대 / i7-13650HX (2.6GHz) / 14코어(6P+8E),2023.01,DR5 / 램 용량: 32GB / 4800MHz / 램 교체: 가능,외장그래픽 / RTX4060 / TGP: 140W / VRAM:8GB / MUX 스위치,M.2(NVMe) / 512GB / 저장 슬롯: 2개,배터리: 90Wh / 어댑터: 280W / 충전단자: DC,18,3,6,USB-PD,32021,6982,122,300,165,5.694444444,ASUS,6.070631984,334.087216,1907080
17,19992320,ASUS ROG 제피러스 G14 GA402XU-N2055,미포함(프리도스),AMD / 라이젠9(Zen4) / 7940HS (4.0Hz) / 옥타(8)코어,2023.05,DR5 / 램 용량: 16GB / 램 교체: 가능(1슬롯),외장그래픽 / RTX4050 / TGP: 120W / VRAM:6GB / MUX 스위치,M.2(NVMe) / 512GB / 저장 슬롯: 1개,배터리: 76Wh / 어댑터: 240W / 충전단자: DC,14,1.65,8.484848485,USB-PD,28435,6051,157,500,165,7.009535655,ASUS,6.342760914,332.2521982,1909020
18,29312009,ASUS ROG 제피러스 G14 GA402XV-N2070 48GB램,미포함(프리도스),AMD / 라이젠9(Zen4) / 7940HS (4.0Hz) / 옥타(8)코어,2023.05,DR5 / 램 용량: 48GB / 램 교체: 가능(1슬롯),외장그래픽 / RTX4060 / TGP: 125W / VRAM:8GB / MUX 스위치,M.2(NVMe) / 512GB / 저장 슬롯: 1개,배터리: 76Wh / 어댑터: 240W / 충전단자: DC,14,1.65,8.484848485,USB-PD,28435,6982,157,500,165,7.009535655,ASUS,6.499161036,273.8899089,2372910
19,17194544,ASUS ROG 제피러스 G15 GA503RM-HQ049 WIN11,윈도우11(설치),AMD / 라이젠7-5세대 / 6800HS (3.2GHz) / 옥타(8)코어,2022.02,DR5 / 램 용량: 16GB / 4800MHz / 램 교체: 가능(1슬롯),외장그래픽 / RTX3060 / TGP: 120W / VRAM:6GB / MUX 스위치,M.2(NVMe) / 512GB / 저장 슬롯: 2개,배터리: 90Wh / 어댑터: 200W / 충전단자: DC,15.6,1.9,8.210526316,USB-PD,22624,6697,141,300,165,6.16708126,ASUS,6.144624517,521.978331,1267180
20,17027375,ASUS ROG 제피러스 G15 GA503RW-LN058W,윈도우11홈,AMD / 라이젠7-5세대 / 6800HS (3.2GHz) / 옥타(8)코어,2022.02,DR5 / 램 용량: 16GB / 4800MHz / 램 교체: 가능(1슬롯),외장그래픽 / RTX3070 Ti / TGP: 120W / VRAM:8GB / MUX 스위치,M.2(NVMe) / 1TB / 저장 슬롯: 2개,배터리: 90Wh / 어댑터: 240W / 충전단자: DC,15.6,1.9,8.210526316,USB-PD,22624,8599,141,300,240,6.583747927,ASUS,6.388552622,375.7994237,1789990
21,17071136,ASUS ROG 제피러스 듀오 16 GX650RX-LB152W,윈도우11홈,AMD / 라이젠9-5세대 / 6900HX (3.3GHz) / 옥타(8)코어,2022.02,DR5 / 램 용량: 32GB / 4800MHz / 램 교체: 가능,외장그래픽 / RTX3080 Ti / TGP: 150W / VRAM:16GB / MUX 스위치,M.2(NVMe) / 4TB / 저장 슬롯: 2개,배터리: 90Wh / 어댑터: 280W / 충전단자: DC,16,2.55,6.274509804,USB-PD,24924,9952,138,500,120,6.286898839,ASUS,6.724563753,251.0102185,2769000
22,19451174,ASUS TUF Gaming A15 FA507NU-R7735D,미포함(프리도스),AMD / 라이젠7(Zen3+) / 7735HS (3.2Hz) / 옥타(8)코어,2023.01,DR5 / 램 용량: 16GB / 4800MHz / 램 교체: 가능,외장그래픽 / RTX4050 / TGP: 140W / VRAM:6GB / MUX 스위치,M.2(NVMe) / 512GB / 저장 슬롯: 2개,배터리: 90Wh / 어댑터: 240W / 충전단자: DC,15.6,2.2,7.090909091,USB-PD,24162,6051,141,250,144,5.939303483,ASUS,6.02095325,518.3506018,1161560
23,28858937,ASUS TUF Gaming A15 FA507NV-LP013 64GB램,미포함(프리도스),AMD / 라이젠7(Zen3+) / 7735HS (3.2Hz) / 옥타(8)코어,2023.01,DR5 / 램 용량: 64GB / 4800MHz / 램 교체: 가능,외장그래픽 / RTX4060 / TGP: 140W / VRAM:8GB / MUX 스위치,M.2(NVMe) / 512GB / 저장 슬롯: 2개,배터리: 90Wh / 어댑터: 240W / 충전단자: DC,15.6,2.2,7.090909091,USB-PD,24162,6982,141,250,144,5.939303483,ASUS,6.241869501,290.320862,2149990
24,28859465,ASUS TUF Gaming A15 FA507NV-LP013 WIN10 64GB램,윈도우10(설치),AMD / 라이젠7(Zen3+) / 7735HS (3.2Hz) / 옥타(8)코어,2023.01,DR5 / 램 용량: 64GB / 4800MHz / 램 교체: 가능,외장그래픽 / RTX4060 / TGP: 140W / VRAM:8GB / MUX 스위치,M.2(NVMe) / 512GB / 저장 슬롯: 2개,배터리: 90Wh / 어댑터: 240W / 충전단자: DC,15.6,2.2,7.090909091,USB-PD,24162,6982,141,250,144,5.939303483,ASUS,6.241869501,281.2932686,2308990
25,28859837,ASUS TUF Gaming A15 FA507NV-LP013 WIN11 64GB램,윈도우11(설치),AMD / 라이젠7(Zen3+) / 7735HS (3.2Hz) / 옥타(8)코어,2023.01,DR5 / 램 용량: 64GB / 4800MHz / 램 교체: 가능,외장그래픽 / RTX4060 / TGP: 140W / VRAM:8GB / MUX 스위치,M.2(NVMe) / 512GB / 저장 슬롯: 2개,배터리: 90Wh / 어댑터: 240W / 충전단자: DC,15.6,2.2,7.090909091,USB-PD,24162,6982,141,250,144,5.939303483,ASUS,6.241869501,281.2932686,2308990
26,19022987,ASUS TUF Gaming F17 FX707VV4-LL017,미포함(프리도스),인텔 / 코어i9-13세대 / i9-13900H (2.6GHz) / 14코어(6P+8E),2023.01,DR4 / 램 용량: 16GB / 3200MHz / 램 교체: 가능,외장그래픽 / RTX4060 / TGP: 140W / VRAM:8GB / MUX 스위치,M.2(NVMe) / 512GB / 저장 슬롯: 2개,배터리: 90Wh / 어댑터: 240W / 충전단자: DC,17.3,2.6,6.653846154,USB-PD,30294,1445,127,300,240,6.235489221,ASUS,6.018201908,345.1120463,1743840
27,17128295,ASUS TUF Gaming F17 FX707ZM-HX037 32GB램,미포함(프리도스),인텔 / 코어i7-12세대 / i7-12700H (2.3GHz) / 14코어(6P+8E),2022.01,DR5 / 램 용량: 32GB / 4800MHz / 램 교체: 가능,외장그래픽 / RTX3060 / TGP: 140W / VRAM:6GB / MUX 스위치,M.2(NVMe) / 512GB / 저장 슬롯: 2개,배터리: 90Wh / 어댑터: 240W / 충전단자: DC,17.3,2.6,6.653846154,,26490,1445,127,250,144,5.591044776,ASUS,5.849512162,344.2935016,1698990
28,27361478,ASUS 비보북 15 X1504ZA-BQ387,미포함(프리도스),인텔 / 코어i3-12세대 / i3-1215U (1.2GHz) / 헥사코어(2P+4E),2022.01,DR4 / 램 용량: 8GB / 램 교체: 가능(1슬롯),내장그래픽 / UHD Graphics,M.2(NVMe) / 256GB,배터리: 42Wh / 어댑터: 45W / 충전단자: DC,15.6,1.7,9.176470588,,11181,595,141,250,60,5.472636816,ASUS,5.241924374,1251.055937,419000
29,20160974,ASUS 비보북 16 M1605YA-MB299,미포함(프리도스),AMD / 라이젠5(Zen3) / 7530U (2.0Hz) / 헥사(6)코어,2023.01,DR4 / 램 용량: 8GB / 램 교체: 가능(1슬롯),내장그래픽 / Radeon Graphics,M.2(NVMe) / 512GB,배터리: 42Wh / 어댑터: 45W / 충전단자: DC,16,1.88,8.510638298,USB-PD,16254,1137,138,300,60,5.509121061,ASUS,5.339960077,996.3355618,535960
30,20558270,ASUS 비보북 16 M1605YA-MB299 16GB램,미포함(프리도스),AMD / 라이젠5(Zen3) / 7530U (2.0Hz) / 헥사(6)코어,2023.01,DR4 / 램 용량: 16GB / 램 교체: 가능(1슬롯),내장그래픽 / Radeon Graphics,M.2(NVMe) / 512GB,배터리: 42Wh / 어댑터: 45W / 충전단자: DC,16,1.88,8.510638298,USB-PD,16254,1137,138,300,60,5.509121061,ASUS,5.419105638,952.8265355,568740
31,20580548,ASUS 비보북 16 M1605YA-MB299 WIN11 16GB램,윈도우11(설치),AMD / 라이젠5(Zen3) / 7530U (2.0Hz) / 헥사(6)코어,2023.01,DR4 / 램 용량: 16GB / 램 교체: 가능(1슬롯),내장그래픽 / Radeon Graphics,M.2(NVMe) / 512GB,배터리: 42Wh / 어댑터: 45W / 충전단자: DC,16,1.88,8.510638298,USB-PD,16254,1137,138,300,60,5.509121061,ASUS,5.356089109,1196.036155,537820
32,28922909,ASUS 비보북 16X K3604VA-MB145 WIN10,윈도우10(설치),인텔 / 코어i5-13세대 / i5-1340P (1.9GHz) / 12코어(4P+8E),2023.01,DR4 / 램 용량: 8GB / 램 교체: 가능(1슬롯),내장그래픽 / UHD Graphics,M.2(NVMe) / 256GB,배터리: 42Wh / 어댑터: 65W / 충전단자: DC,16,1.76,9.090909091,USB-PD,20640,1102,138,300,60,5.509121061,ASUS,5.412097502,643.8450971,930590
33,28923029,ASUS 비보북 16X K3604VA-MB145 WIN10 16GB램,윈도우10(설치),인텔 / 코어i5-13세대 / i5-1340P (1.9GHz) / 12코어(4P+8E),2023.01,DR4 / 램 용량: 16GB / 램 교체: 가능(1슬롯),내장그래픽 / UHD Graphics,M.2(NVMe) / 256GB,배터리: 42Wh / 어댑터: 65W / 충전단자: DC,16,1.76,9.090909091,USB-PD,20640,1102,138,300,60,5.509121061,ASUS,5.428226534,669.4076377,900900
34,28923155,ASUS 비보북 16X OLED M3604YA-L2030 40GB램,미포함(프리도스),AMD / 라이젠5(Zen3) / 7530U (2.0Hz) / 헥사(6)코어,2023.01,DR4 / 램 용량: 40GB / 램 교체: 가능(1슬롯),내장그래픽 / Radeon Graphics,M.2(NVMe) / 512GB,배터리: 63Wh / 어댑터: 65W / 충전단자: DC,16,1.72,9.302325581,USB-PD,16254,1137,138,400,60,5.731343284,ASUS,5.720693511,418.4515884,1367110
35,28923182,ASUS 비보북 16X OLED M3604YA-L2030 WIN11 40GB램,윈도우11(설치),AMD / 라이젠5(Zen3) / 7530U (2.0Hz) / 헥사(6)코어,2023.01,DR4 / 램 용량: 40GB / 램 교체: 가능(1슬롯),내장그래픽 / Radeon Graphics,M.2(NVMe) / 512GB,배터리: 63Wh / 어댑터: 65W / 충전단자: DC,16,1.72,9.302325581,USB-PD,16254,1137,138,400,60,5.731343284,ASUS,5.720693511,429.3815637,1422310
36,20606741,ASUS 비보북 M1502QA-R5722D,미포함(프리도스),AMD / 라이젠7-4세대 / 5800H (3.2GHz) / 옥타(8)코어,2021.01,DR4 / 램 용량: 8GB / 램 교체: 가능(1슬롯),내장그래픽 / Radeon Graphics,M.2(NVMe) / 256GB,배터리: 42Wh / 어댑터: 65W / 충전단자: DC,15.6,1.7,9.176470588,,20510,1299,141,250,60,5.472636816,ASUS,5.36040346,1077.446375,497510
37,19450328,ASUS 비보북 S 15 OLED K5504VN-MA050W,윈도우11홈,인텔 / 코어i5-13세대 / i5-13500H (2.6GHz) / 12코어(4P+8E),2023.01,PDDR5(온보드) / 램 용량: 16GB / 램 교체: 불가능,외장그래픽 / Arc A350M / VRAM:4GB,M.2(NVMe) / 512GB,배터리: 75Wh / 어댑터: 90W / 충전단자: DC,15.6,1.7,9.176470588,USB-PD,22988,1102,141,600,120,6.583747927,ASUS,6.037047911,460.9559519,1399680
38,19509941,ASUS 비보북 S 15 OLED K5504VN-MA113W,윈도우11홈,인텔 / 코어i9-13세대 / i9-13900H (2.6GHz) / 14코어(6P+8E),2023.01,PDDR5(온보드) / 램 용량: 16GB / 램 교체: 불가능,외장그래픽 / Arc A350M / VRAM:4GB,M.2(NVMe) / 512GB,배터리: 75Wh / 어댑터: 90W / 충전단자: DC,15.6,1.7,9.176470588,USB-PD,30294,1445,141,600,120,6.583747927,ASUS,6.123710407,369.1205791,1749000
39,20180003,ASUS 비보북 X1502VA-BQ079 16GB램,미포함(프리도스),인텔 / 코어i5-13세대 / i5-13500H (2.6GHz) / 12코어(4P+8E),2023.01,DR4 / 램 용량: 16GB / 램 교체: 가능(1슬롯),내장그래픽 / Iris Xe,M.2(NVMe) / 256GB,배터리: 42Wh / 어댑터: 65W / 충전단자: DC,15.6,1.7,9.176470588,USB-PD,22988,1102,141,250,60,5.472636816,ASUS,5.412844227,743.4204404,728100
40,28892675,ASUS 비보북 고 15 E1504FA-BQ494 WIN11,윈도우11(설치),AMD / 라이젠5(Zen2) / 7520U (2.8GHz) / 쿼드(4)코어,2023.01,PDDR5(온보드) / 램 용량: 16GB / 5500MHz / 램 교체: 불가능,내장그래픽 / Radeon 610M,M.2(NVMe) / 256GB,배터리: 42Wh / 어댑터: 45W / 충전단자: DC,15.6,1.63,9.570552147,,9699,537,141,250,60,5.472636816,ASUS,5.275411463,771.2138856,774040
41,20572235,ASUS 비보북 고 15 E1504GA-BQ239,미포함(프리도스),인텔 / 코어i3 / i3-N305 (1.8GHz) / 옥타(8)코어,2023.01,DR4(온보드) / 램 용량: 8GB / 램 교체: 불가능,내장그래픽 / UHD Graphics,M.2(NVMe) / 256GB,배터리: 42Wh / 어댑터: 45W / 충전단자: DC,15.6,1.63,9.570552147,,10287,308,141,250,60,5.472636816,ASUS,5.242584932,1320.550361,397000
42,19532186,ASUS 비보북 고 15 OLED E1504FA-R7532D,미포함(프리도스),AMD / 라이젠5(Zen2) / 7520U (2.8GHz) / 쿼드(4)코어,2023.01,PDDR5(온보드) / 램 용량: 16GB / 5500MHz / 램 교체: 불가능,내장그래픽 / Radeon 610M,M.2(NVMe) / 256GB,배터리: 50Wh / 어댑터: 65W / 충전단자: DC,15.6,1.63,9.570552147,,9699,537,141,400,60,5.805970149,ASUS,5.437911463,921.679909,590000
43,19072406,ASUS 젠북 14X OLED UX3404VA-M9129W,윈도우11홈,인텔 / 코어i9-13세대 / i9-13900H (2.6GHz) / 14코어(6P+8E),2023.01,PDDR5(온보드) / 램 용량: 16GB / 램 교체: 불가능,내장그래픽 / Iris Xe,M.2(NVMe) / 512GB,배터리: 70Wh / 어댑터: 90W / 충전단자: 타입C,14.5,1.56,9.294871795,USB-PD,30294,1445,152,600,120,6.857379768,ASUS,6.172286125,354.7290876,1830000
44,20239928,ASUS 젠북 15 UM3504DA-BN144,미포함(프리도스),AMD / 라이젠5(Zen3+) / 7535U (2.9Hz) / 헥사(6)코어,2023.01,PDDR5(온보드) / 램 용량: 16GB / 램 교체: 불가능,내장그래픽 / Radeon 660M,M.2(NVMe) / 512GB,배터리: 67Wh / 어댑터: 65W / 충전단자: 타입C,15.6,1.5,10.4,USB-PD,17419,1571,141,300,60,5.583747927,ASUS,5.687300484,553.2124395,1028050
45,20257277,ASUS 젠북 S 13 OLED UX5304VA-NQ222W,윈도우11홈,인텔 / 코어i7-13세대 / i7-1355U (1.7GHz) / 10코어(2P+8E),2023.01,PDDR5(온보드) / 램 용량: 16GB / 램 교체: 불가능,내장그래픽 / Iris Xe,M.2(NVMe) / 512GB,배터리: 63Wh / 어댑터: 65W / 충전단자: 타입C,13.3,1,13.3,USB-PD,15424,1445,166,550,60,6.76119403,ASUS,6.120572754,422.1084658,1540000
46,17373701,ASUS 젠북 프로 16X OLED UX7602ZM-ME004W,윈도우11홈,인텔 / 코어i9-12세대 / i9-12900H (2.5GHz) / 14코어(6P+8E),2022.01,PDDR5(온보드) / 램 용량: 32GB / 5200MHz / 램 교체: 불가능,외장그래픽 / RTX3060 / TGP: 95W / VRAM:6GB,M.2(NVMe) / 1TB,배터리: 96Wh / 어댑터: 240W / 충전단자: DC,16,2.4,6.666666667,USB-PD,28146,6697,138,550,60,6.064676617,ASUS,6.27384067,328.6471207,1998990
47,20347802,DELL G시리즈 G16 7630 W004KR,윈도우11홈,인텔 / 코어i9-13세대 / i9-13900HX (2.2GHz) / 24코어(8P+16E),2023.01,DR5 / 램 용량: 16GB / 4800MHz / 램 교체: 가능,외장그래픽 / RTX4070 / TGP: 140W / VRAM:8GB / MUX 스위치,M.2(NVMe) / 1TB,배터리: 86Wh / 어댑터: 330W / 충전단자: DC,16,2.99,5.351170569,,44994,9755,138,300,165,6.092454395,DELL,6.973506634,262.1619035,2750000
48,28530725,DELL 래티튜드 5330 UB02KR,리눅스(우분투),인텔 / 코어i5-12세대 / i5-1245U (1.6GHz) / 10코어(2P+8E),2022.01,DR4 / 램 용량: 16GB / 3200MHz / 램 교체: 불가능,내장그래픽 / Iris Xe,M.2(NVMe) / 256GB / 저장 슬롯: 1개,배터리: 41Wh / 어댑터: 65W / 충전단자: 타입C,13.3,1.2,11.08333333,USB-PD,13574,1102,166,250,60,6.094527363,DELL,6.082285574,889.0670605,684120
49,19538000,DELL 인스피론 15 3520 UB02KR,리눅스(우분투),인텔 / 코어i5-12세대 / i5-1235U (1.3GHz) / 10코어(2P+8E),2022.01,DR4 / 램 용량: 8GB / 2666MHz / 램 교체: 가능,내장그래픽 / UHD Graphics,M.2(NVMe) / 256GB,배터리: 41Wh / 충전단자: DC,15.6,1.68,9.285714286,,13650,1102,141,250,120,5.805970149,DELL,5.911522946,1082.69651,546000
50,29097443,DELL 인스피론 15 3520 W003KR 16GB램,윈도우11홈,인텔 / 코어i5-12세대 / i5-1235U (1.3GHz) / 10코어(2P+8E),2022.01,DR4 / 램 용량: 16GB / 2666MHz / 램 교체: 가능,내장그래픽 / UHD Graphics,M.2(NVMe) / 512GB,배터리: 41Wh / 충전단자: DC,15.6,1.68,9.285714286,,13650,1102,141,250,120,5.805970149,DELL,5.945330597,553.2032453,1164710
51,29102861,DELL 인스피론 15 3520 W003KR 32GB램,윈도우11홈,인텔 / 코어i5-12세대 / i5-1235U (1.3GHz) / 10코어(2P+8E),2022.01,DR4 / 램 용량: 32GB / 2666MHz / 램 교체: 가능,내장그래픽 / UHD Graphics,M.2(NVMe) / 512GB,배터리: 41Wh / 충전단자: DC,15.6,1.68,9.285714286,,13650,1102,141,250,120,5.805970149,DELL,6.009846726,541.7741733,1199290
52,29105666,DELL 인스피론 15 3520 W003KR 64GB램,윈도우11홈,인텔 / 코어i5-12세대 / i5-1235U (1.3GHz) / 10코어(2P+8E),2022.01,DR4 / 램 용량: 64GB / 2666MHz / 램 교체: 가능,내장그래픽 / UHD Graphics,M.2(NVMe) / 512GB,배터리: 41Wh / 충전단자: DC,15.6,1.68,9.285714286,,13650,1102,141,250,120,5.805970149,DELL,6.138878985,508.3663046,1297570
53,19786979,DELL 인스피론 16 5630 W004KR,윈도우11홈,인텔 / 코어i7-13세대 / i7-1360P (2.2GHz) / 12코어(4P+8E),2023.01,PDDR5(온보드) / 램 용량: 16GB / 4800MHz / 램 교체: 불가능,내장그래픽 / Iris Xe,M.2(NVMe) / 512GB,배터리: 54Wh / 어댑터: 65W / 충전단자: 타입C(+DC),16,1.85,8.648648649,USB-PD,19696,1445,138,300,60,5.509121061,DELL,6.001438905,598.9459985,1092000
54,19850732,DELL 인스피론 16 5630 W005KR,윈도우11홈,인텔 / 코어i7-13세대 / i7-1360P (2.2GHz) / 12코어(4P+8E),2023.01,PDDR5(온보드) / 램 용량: 16GB / 4800MHz / 램 교체: 불가능,내장그래픽 / Iris Xe,M.2(NVMe) / 512GB,배터리: 54Wh / 어댑터: 65W / 충전단자: 타입C(+DC),16,1.85,8.648648649,USB-PD,19696,1445,138,300,60,5.509121061,DELL,6.001438905,556.2501882,1168910
55,19045610,GIGABYTE AERO 16 BSF OLED i9,미포함(프리도스),인텔 / 코어i9-13세대 / i9-13900H (2.6GHz) / 14코어(6P+8E),2023.01,DR5 / 램 용량: 32GB / 4800MHz / 램 교체: 가능,외장그래픽 / RTX4070 / TGP: 115W / VRAM:8GB / MUX 스위치,M.2(NVMe) / 1TB / 저장 슬롯: 2개,배터리: 88Wh / 충전단자: DC,16,1.9,8.421052632,USB-PD,30294,1445,138,600,60,6.175787728,GIGABYTE,6.395016163,143.0652385,4470000
