,Name,운영체제(OS),CPU,램,그래픽,저장장치,파워,무게(kg),PD충전,CPU_Score,GPU_Score,inch,ppi,Screen_Brightness,Screen_Refresh_Rate,Manufacturer,Value_Point,Value_for_Money_Point,Price_won
12,APPLE 2023 맥북프로14 MPHJ3KH/A,macOS Ventura,애플(ARM) / 실리콘 M2 Pro / 12코어, 용량: 16GB / 램 교체: 불가능,내장그래픽 / M2 Pro 19core,SSD / 1TB,배터리: 70Wh / 어댑터: 96W / 충전단자: MagSafe 3 / 최대18시간,1.6,USB-PD,26417.0,8920.0,14.2,155.0,1000.0,120.0,APPLE,6.925540724327824,214.81139091776467,3314010.0
13,APPLE 2023 맥북프로16 MNW93KH/A,macOS Ventura,애플(ARM) / 실리콘 M2 Pro / 12코어, 용량: 16GB / 램 교체: 불가능,내장그래픽 / M2 Pro 19core,SSD / 1TB,배터리: 100Wh / 어댑터: 140W / 충전단자: MagSafe 3 / 최대22시간,2.15,USB-PD,26417.0,8920.0,16.2,136.0,1000.0,120.0,APPLE,7.057255712564541,220.82907918407102,3285800.0
14,APPLE 2023 맥북프로16 MNWA3KH/A,macOS Ventura,애플(ARM) / 실리콘 M2 Max / 12코어, 용량: 32GB / 램 교체: 불가능,내장그래픽 / M2 Max 38core,SSD / 1TB,배터리: 100Wh / 어댑터: 140W / 충전단자: MagSafe 3 / 최대22시간,2.16,USB-PD,26256.0,13869.0,16.2,136.0,1000.0,120.0,APPLE,7.317644694808618,150.66771594541723,4946810.0
15,APPLE 2023 맥북프로16 MNWC3KH/A,macOS Ventura,애플(ARM) / 실리콘 M2 Pro / 12코어, 용량: 16GB / 램 교체: 불가능,내장그래픽 / M2 Pro 19core,SSD / 512GB,배터리: 100Wh / 어댑터: 140W / 충전단자: MagSafe 3 / 최대22시간,2.15,USB-PD,26417.0,8920.0,16.2,136.0,1000.0,120.0,APPLE,6.976138691287946,240.23426132835422,2993890.0
16,APPLE 2023 맥북프로16 MNWD3KH/A,macOS Ventura,애플(ARM) / 실리콘 M2 Pro / 12코어, 용량: 16GB / 램 교체: 불가능,내장그래픽 / M2 Pro 19core,SSD / 1TB,배터리: 100Wh / 어댑터: 140W / 충전단자: MagSafe 3 / 최대22시간,2.15,USB-PD,26417.0,8920.0,16.2,136.0,1000.0,120.0,APPLE,7.057255712564541,220.7461905713025,3287000.0
17,ASUS ProArt Studiobook 16 OLED H7604JV-MY072X 64GB램,윈도우11프로,인텔 / 코어i9-13세대 / i9-13980HX (2.2GHz) / 24코어(8P+16E),DR5 / 램 용량: 64GB / 5200MHz / 램 교체: 가능,외장그래픽 / RTX4060 / TGP: 130W / VRAM:8GB / MUX 스위치,M.2(NVMe) / 512GB / 저장 슬롯: 2개,배터리: 90Wh / 어댑터: 240W / 충전단자: DC,2.4,USB-PD,48175.0,6982.0,16.0,138.0,500.0,120.0,ASUS,6.654794367885686,207.96232399642767,3290000.0
18,ASUS ROG STRIX G16 G614JV-N3031,미포함(프리도스),인텔 / 코어i7-13세대 / i7-13650HX (2.6GHz) / 14코어(6P+8E),DR5 / 램 용량: 16GB / 4800MHz / 램 교체: 가능,외장그래픽 / RTX4060 / TGP: 140W / VRAM:8GB / MUX 스위치,M.2(NVMe) / 512GB / 저장 슬롯: 2개,배터리: 90Wh / 어댑터: 280W / 충전단자: DC,2.5,USB-PD,32021.0,6982.0,16.0,138.0,250.0,165.0,ASUS,6.148271036501602,341.7604800723514,1799000.0
19,ASUS ROG STRIX G17 G713PI-LL005 64GB램,미포함(프리도스),AMD / 라이젠9(Zen4) / 7945HX (2.5Hz) / 16코어,DR5 / 램 용량: 64GB / 4800MHz / 램 교체: 가능,외장그래픽 / RTX4070 / TGP: 140W / VRAM:8GB / MUX 스위치,M.2(NVMe) / 1TB / 저장 슬롯: 2개,배터리: 90Wh / 어댑터: 280W / 충전단자: DC,2.8,USB-PD,56920.0,9755.0,17.3,127.0,300.0,240.0,ASUS,6.902761962056041,240.74083500352393,2867300.0
20,ASUS ROG STRIX G18 G814JV-N5002 WIN11 32GB램,윈도우11(설치),인텔 / 코어i7-13세대 / i7-13650HX (2.6GHz) / 14코어(6P+8E),DR5 / 램 용량: 32GB / 4800MHz / 램 교체: 가능,외장그래픽 / RTX4060 / TGP: 140W / VRAM:8GB / MUX 스위치,M.2(NVMe) / 512GB / 저장 슬롯: 2개,배터리: 90Wh / 어댑터: 280W / 충전단자: DC,3.0,USB-PD,32021.0,6982.0,18.0,122.0,300.0,165.0,ASUS,6.147441276992864,351.44703672537213,1839180.0
21,ASUS ROG STRIX G18 G814JV-N6024,미포함(프리도스),인텔 / 코어i9-13세대 / i9-13980HX (2.2GHz) / 24코어(8P+16E),DR5 / 램 용량: 16GB / 4800MHz / 램 교체: 가능,외장그래픽 / RTX4060 / TGP: 140W / VRAM:8GB / MUX 스위치,M.2(NVMe) / 512GB / 저장 슬롯: 2개,배터리: 90Wh / 어댑터: 280W / 충전단자: DC,3.0,USB-PD,48175.0,6982.0,18.0,122.0,500.0,240.0,ASUS,6.633325980149537,289.49043721030716,2291380.0
